iter	Passed	Remaining
764	2019	3260
765	2023	3259
766	2026	3257
767	2029	3255
768	2032	3253
769	2035	3252
770	2039	3250
771	2042	3248
772	2046	3247
773	2049	3245
774	2052	3244
775	2055	3241
776	2058	3240
777	2061	3238
778	2064	3235
779	2066	3232
780	2069	3229
781	2071	3226
782	2074	3223
783	2076	3220
784	2079	3218
785	2081	3214
786	2084	3212
787	2086	3208
788	2088	3205
789	2090	3202
790	2093	3199
791	2095	3196
792	2098	3193
793	2100	3190
794	2103	3187
795	2105	3184
796	2107	3181
797	2110	3178
798	2112	3175
799	2114	3171
800	2117	3168
801	2119	3166
802	2121	3162
803	2124	3160
804	2126	3157
805	2129	3153
806	2131	3150
807	2133	3147
808	2136	3144
809	2138	3142
810	2141	3139
811	2144	3137
812	2146	3134
813	2149	3131
814	2151	3128
815	2154	3126
816	2156	3123
817	2159	3119
818	2161	3116
819	2163	3113
820	2166	3111
821	2168	3108
822	2171	3105
823	2173	3102
824	2176	3099
825	2178	3096
826	2180	3093
827	2182	3089
828	2185	3086
829	2187	3083
830	2189	3080
831	2192	3077
832	2194	3074
833	2196	3071
834	2198	3067
835	2201	3064
836	2203	3062
837	2206	3059
838	2208	3056
839	2211	3053
840	2213	3050
841	2216	3047
842	2218	3044
843	2220	3041
844	2223	3039
845	2226	3036
846	2228	3033
847	2231	3031
848	2233	3027
849	2235	3024
850	2238	3021
851	2240	3018
852	2242	3015
853	2244	3012
854	2247	3009
855	2249	3006
856	2252	3003
857	2254	3000
858	2256	2997
859	2260	2995
860	2262	2992
861	2265	2990
862	2267	2987
863	2269	2984
864	2272	2981
865	2274	2978
866	2276	2975
867	2279	2972
868	2281	2969
869	2283	2966
870	2286	2963
871	2288	2960
872	2290	2957
873	2293	2954
874	2295	2951
875	2297	2948
876	2300	2945
877	2302	2942
878	2304	2939
879	2307	2936
880	2309	2933
881	2312	2930
882	2314	2927
883	2316	2924
884	2318	2921
885	2321	2918
886	2323	2915
887	2325	2912
888	2328	2909
889	2330	2906
890	2333	2904
891	2335	2901
892	2338	2898
893	2340	2895
894	2342	2892
895	2345	2889
896	2347	2886
897	2349	2883
898	2352	2880
899	2354	2877
900	2356	2874
901	2358	2871
902	2361	2869
903	2364	2866
904	2366	2863
905	2369	2860
906	2371	2858
907	2373	2855
908	2376	2852
909	2379	2849
910	2381	2846
911	2384	2844
912	2386	2841
913	2389	2838
914	2391	2836
915	2394	2833
916	2397	2831
917	2399	2828
918	2402	2825
919	2405	2824
920	2408	2821
921	2411	2819
922	2414	2817
923	2416	2814
924	2419	2811
925	2421	2808
926	2424	2805
927	2426	2802
928	2428	2800
929	2431	2797
930	2433	2794
931	2436	2791
932	2439	2789
933	2441	2786
934	2444	2783
935	2447	2781
936	2449	2778
937	2451	2775
938	2454	2772
939	2456	2769
940	2458	2766
941	2460	2763
942	2464	2762
943	2466	2759
944	2469	2756
945	2472	2754
946	2474	2751
947	2477	2748
948	2479	2745
949	2481	2743
950	2484	2740
951	2486	2737
952	2489	2734
953	2491	2732
954	2494	2729
955	2496	2726
956	2499	2723
957	2501	2721
958	2503	2718
959	2506	2715
960	2509	2712
961	2511	2710
962	2514	2707
963	2516	2704
964	2519	2702
965	2521	2699
966	2524	2696
967	2526	2693
968	2528	2690
969	2531	2687
970	2533	2685
971	2536	2682
972	2538	2679
973	2541	2677
974	2543	2674
975	2546	2671
976	2548	2668
977	2551	2666
978	2554	2664
979	2557	2661
980	2559	2658
981	2562	2656
982	2564	2653
983	2567	2651
984	2569	2648
985	2572	2645
986	2574	2642
987	2577	2640
988	2579	2637
989	2582	2634
990	2584	2631
991	2586	2628
992	2589	2625
993	2591	2622
994	2594	2620
995	2596	2617
996	2599	2614
997	2601	2612
998	2604	2609
999	2607	2607
1000	2609	2604
1001	2612	2601
1002	2614	2599
1003	2617	2596
1004	2619	2593
1005	2622	2591
1006	2624	2588
1007	2627	2585
1008	2629	2582
1009	2632	2580
1010	2634	2577
1011	2637	2574
1012	2639	2571
1013	2642	2569
1014	2644	2566
1015	2647	2563
1016	2649	2561
1017	2652	2558
1018	2654	2555
1019	2657	2553
1020	2660	2550
1021	2662	2548
1022	2665	2545
1023	2667	2542
1024	2669	2539
1025	2672	2536
1026	2674	2534
1027	2677	2531
1028	2679	2528
1029	2682	2526
1030	2684	2523
1031	2687	2520
1032	2689	2517
1033	2692	2515
1034	2694	2512
1035	2696	2509
1036	2699	2506
1037	2701	2503
1038	2704	2501
1039	2706	2498
1040	2708	2495
1041	2711	2492
